Listing_Title,City,Area,Location,picode,Zone,Propery_Type,Size_In_Sqft,Carpet_Area_Sqft,Bedrooms,Bathrooms,Balcony,Frurnishing_Status,Amenities,Number_Of_Amenities,Security_Deposite,Rent_Price,Property_Age,Brokerage,Floor_No,Total_floors_In_Building,Maintenance_Charge,Nearby_Facilities,Recomened for,Muncipla Water Or Bore Water,Type of Society,Road Connectivity,Builder or Developer Name
1 BHK Flat for Rent ,Nagpur,shatabdisquare,"Shatabdi Square, Nagpur, Maharashtra",,south zone,1 BHK Flat,800 .sqft,800 sqft,1,1,,Semi Furnished,Wifi,1,20000,10000,Less than 5 years,No,2 Floor,2 Floors,No,"school,hospital",family,,,under 2 km,
1 BHK Flat  For Rent ,Nagpur,manewada,"Manewada, Nagpur, Maharashtra",,south zone,1 BHK Flat,700 .sqft,700 sqft,1,1,,Unfurnished,,0,16000,8000,new Construction,No,2 Floor,3 Floors,No,"school,hospital",family,,,under 1 km,
1 RK Flat for Rent,Nagpur,hudkeswar,"Devashree Krishnam Nagari Location Hudkeshwar Road Nagpur, Sanmarga Nagar, Nagpur",,south zone,1 RK,1000.sqft,,1,1,,Fully Furnished,,0,12000,6000,,No,,,No,"School,Hospital, metro station, mall",family,,,under 2 km,
2 BHK Flat for Rent,Nagpur,manish nagar,"Nandita Apartment manish nagar , New Manish Nagar, Somalwada, Nagpur",,south zone,2 BHK Flat,500 .sqft,,2,2,,Fully Furnished,,0,8000,4000,,No,,,No,"school, hospital, metro station, airport",,,,under 2 km,
1 BHK Flat for Rent,Nagpur,beltarodi,"SDPL Aashray Beltarodi II, Beltarodi, Nagpur",,south zone,1 BHK Flat,525.sqft,,1,1,,Fully Furnished,,0,17000,8500,,No,,,No,"school, hospital, metro station, airport",,,,under 1 km,
2 BHK Flat for Rent,Nagpur,mahal,"Nagpur Plots, Mahal, Nagpur",,east zone,2 BHK Flat,750.sqft,,2,2,,Fully Furnished,,0,14000,7000,,No,,,No,"school, hospital, metro station, mall",,,,under 2 km,
3 BHK Independent House for Rent,Nagpur,manewada,"Shiv Sai Saidham Vasahat, Manewada, Nagpur",,south zone,3 BHK house,1300.sqft,1200.sqft,3,3,2,Semi Furnished,"parking, sport facility,gated Community, water supply",4,34000,17000,,No,,,No,"school, hospitL,metro station, mall",family,,,under 1 km,
3 BHK Independent House for Rent,Nagpur,manish nagar,"Manewada, Nagpur",,south zone,3 BHK house, 1500.sqft,,3,3,,Semi Furnished,,0,40000,20000,,No,,,No,"school, hospitL,metro station, mall","family,company",,,under 2 km,
3 BHK Independent House for Rent,Nagpur,manewada,"Shiv Sai Saidham Vasahat, Manewada, Nagpur",,south zone,3 BHK house,1300.sqft,,3,3,2,Semi Furnished,"parking, gated community",2,34000,17000,,No,,,No,"school, hospital, metro station, mall",family,,,under 1 km,
3 BHK Independent House for Rent,Nagpur,besa,"Atharva nagri , Besa, Nagpur",,south zone,3 BHK house,1400.sqft,,3,3,,Semi Furnished,,0,40000,20000,,No,,,No,"school, hospital, metro station,airport",,,,under 1 km,
3 BHK Independent House for Rent,Nagpur,manish nagar,"Parvati Nagar, Nagpur",,south zone,3 BHK house,2000.sqft,,3,2,2,Semi Furnished,"parking, gated community",2,32000,16000, ,No,,,No,"School,Hospital, metro station, airport",Family,,,under 2 km,
1 BHK Independent Builder Floor for Rent,Nagpur,manewada,"Manewada square, Manewada, Nagpur",,south zone,1 BHK floor,920.sqft,850.sqft,1,1,2,Unfurnished,parking,1,21000,10500,2 years,yes,,,No,"school, hospital,metro station, mall","family,batchelor,company",,,under 2 km,
3 BHK Independent Builder Floor for Rent,Nagpur,manish nagar,"Sr realators, Manish Nagar, Nagpur",,south zone,3 BHK floor,1600.sqft,1142.sqft,3,3,3,Semi Furnished,"ATM,gym,kids pool,fire fighting ,lift,parking,pet allowed,garden,water supply,gated Community",10,44000,22000,1 year,yes,2 Floor,4 floors,No,"school, hospital,metro station,mall",family,,,under 1 km,
2 BHK Independent Builder Floor for Rent,Nagpur,narendra nagar extension,"Mits, Narendra Nagar Extension, Nagpur",,south zone,2 BHK floor,1150.sqft,1050.sqft,2,2,,Fully Furnished,parking,1,32000,16000,8 years,yes,Ground Floor,2 Floors,No,"school, hospital,metro station,airport","family,batchelor",,,under 1 km,
2 BHK Independent Builder Floor for Rent,Nagpur,manish nagar,"Narendra Nagar Extension, Nagpur",,south zone,2 BHK floor,1050.sqft,796.sqft,2,2,2,Semi Furnished,"lift ,parking",2,34000,17000,5 years,yes,3 Floor,3 Floors,No,"school,hospital,metro station,airport","family,batchelor,company",,,under 1  km,
